method,cost_bps,n_days,cumulative_return,gross_cumulative_return,cagr,annualised_volatility,sharpe_ratio,sortino_ratio,maximum_drawdown,average_holding_period,average_daily_turnover,active_days,average_active_instruments,hit_rate,mean_daily_return,mean_gross_daily_return
blindly_follow_primary_signal_equal_weight,0,127,0.3576660071295268,0.3576660071295268,0.8344026170667731,0.14066580098599374,4.387833711362105,7.4798784784951895,-0.03467214201030977,3.9960474308300395,0.5427259092613423,127,7.889763779527559,0.6377952755905512,0.0024492783476273653,0.0024492783476273653
blindly_follow_primary_signal_equal_weight,2,127,0.3391071585475798,0.3576660071295268,0.7849808925063277,0.1408202328062707,4.18877845903588,7.094094980030131,-0.0350054348632407,3.9960474308300395,0.5427259092613423,127,7.889763779527559,0.6220472440944882,0.002340733165775097,0.0024492783476273653
threshold_filter_050,0,127,0.3199781536381705,0.3199781536381705,0.7347416192366198,0.14397908395113726,3.9014535154616437,6.1879441390067145,-0.03881343300145568,3.6215139442231075,0.6133170853643294,127,7.086614173228346,0.6377952755905512,0.0022290781874369507,0.0022290781874369507
threshold_filter_050,2,127,0.29960260179294695,0.3199781536381705,0.6820110779025592,0.14413198218977893,3.682850357478758,5.81835735271517,-0.04034932771637889,3.6215139442231075,0.6133170853643294,127,7.086614173228346,0.6299212598425197,0.0021064147703640846,0.0022290781874369507
threshold_filter_055,0,127,0.30450608493239084,0.30450608493239084,0.6946271868268654,0.1513175647502949,3.5642584510540525,6.099803115083812,-0.044122940784886766,2.9006622516556293,0.5705099362579676,122,3.4173228346456694,0.5433070866141733,0.0021402178926752274,0.0021402178926752274
threshold_filter_055,2,127,0.2857818170122024,0.30450608493239084,0.6467034293908045,0.15125697291814996,3.3755879039245866,5.721339704737473,-0.044767555902230804,2.9006622516556293,0.5705099362579676,122,3.4173228346456694,0.5433070866141733,0.002026115905423634,0.0021402178926752274
threshold_filter_060,0,127,-0.020197962090019672,-0.020197962090019672,-0.03967943211669067,0.03315403045515381,-1.2046285330008564,-0.6585111724021984,-0.025110209949259943,2.625,0.02952755905511811,21,0.16535433070866143,0.05511811023622047,-0.00015848528202483194,-0.00015848528202483194
threshold_filter_060,2,127,-0.02093408568003874,-0.020197962090019672,-0.04111051518663089,0.033241141770105946,-1.2462411891005145,-0.7295358527177451,-0.025452391318144474,2.625,0.02952755905511811,21,0.16535433070866143,0.05511811023622047,-0.0001643907938358556,-0.00015848528202483194
confidence_linear,0,127,0.35048917438176086,0.35048917438176086,0.8152115085434606,0.15375378348221141,3.9583045163334365,7.164497731642345,-0.04134245669829495,3.6215139442231075,0.6111242772015024,127,7.086614173228346,0.5984251968503937,0.002415096410956312,0.002415096410956312
confidence_linear,2,127,0.329724778652575,0.35048917438176086,0.7602506736491699,0.15385236635505917,3.755571953027909,6.7741108387102,-0.04304317626969745,3.6215139442231075,0.6111242772015024,127,7.086614173228346,0.5905511811023622,0.002292871555516011,0.002415096410956312
confidence_scaled,0,127,0.35048917438176086,0.35048917438176086,0.8152115085434606,0.15375378348221141,3.9583045163334365,7.164497731642345,-0.04134245669829495,3.6215139442231075,0.6111242772015024,127,7.086614173228346,0.5984251968503937,0.002415096410956312,0.002415096410956312
confidence_scaled,2,127,0.329724778652575,0.35048917438176086,0.7602506736491699,0.15385236635505917,3.755571953027909,6.7741108387102,-0.04304317626969745,3.6215139442231075,0.6111242772015024,127,7.086614173228346,0.5905511811023622,0.002292871555516011,0.002415096410956312
soft_allocation,0,127,0.3576660071295268,0.3576660071295268,0.8344026170667731,0.14066580098599374,4.387833711362105,7.4798784784951895,-0.03467214201030977,3.9960474308300395,0.5427259092613423,127,7.889763779527559,0.6377952755905512,0.0024492783476273653,0.0024492783476273653
soft_allocation,2,127,0.3391071585475798,0.3576660071295268,0.7849808925063277,0.1408202328062707,4.18877845903588,7.094094980030131,-0.0350054348632407,3.9960474308300395,0.5427259092613423,127,7.889763779527559,0.6220472440944882,0.002340733165775097,0.0024492783476273653
